,url,prod_name
0,/home/disposable-laex-gloves/,disposable-laex-gloves
1,/home/oximeter/,oximeter
2,/home/emergen-c-vitamin/,emergen-c-vitamin
3,/home/all-purpose-cleaner/,all-purpose-cleaner
4,/home/floor-sweeper-pads/,floor-sweeper-pads
5,/home/laundry/,laundry
6,/home/weight-training/,weight-training
7,/home/hand-sanitizers/,hand-sanitizers
8,/home/respirator-face-mask/,respirator-face-mask
9,/home/hibiclens-antiseptic-skin-cleanser/,hibiclens-antiseptic-skin-cleanser
10,/home/bread-maker/,bread-maker
11,/home/sewing-machine/,sewing-machine
12,/home/rice/,rice
13,/home/thermoscan-ear-lens-filters/,thermoscan-ear-lens-filters
14,/home/noodles-cups/,noodles-cups
15,/home/trampolines/,trampolines
16,/home/antibacterial-hand-soap/,antibacterial-hand-soap
17,/home/hair-cutting-kit/,hair-cutting-kit
18,/home/toilet-bidet-attachment-water-sprayer/,toilet-bidet-attachment-water-sprayer
19,/home/isopropyl-alcohol/,isopropyl-alcohol
20,/home/disinfecting-wipes/,disinfecting-wipes
21,/home/hydrogen-peroxide/,hydrogen-peroxide
22,/home/inflatable-pool/,inflatable-pool
23,/home/baby-wipes/,baby-wipes
24,/home/flour/,flour
25,/home/shelf-stable-milk/,shelf-stable-milk
26,/home/emergency-food-supply/,emergency-food-supply
27,/home/paper-towels/,paper-towels
28,/home/facial-tissues/,facial-tissues
29,/home/toilet-paper/,toilet-paper
30,/home/over-the-counter-medicines/,over-the-counter-medicines
31,/home/thermometer/,thermometer
